Constituency,Name,Political Party,Votes
LABWOR COUNTY,OCHERO  JIMBRICKY NOMAN,NRM,14738
LABWOR COUNTY,AYEPA  MICHAEL,INDEPENDENT,8466
LABWOR COUNTY,OKELLO  PETER CROMWELL,INDEPENDENT,791
ADJUMANI EAST COUNTY,MAMAWI  JAMES,NRM,12014
ADJUMANI EAST COUNTY,ANGEL  DULU MARK,INDEPENDENT,10728
ADJUMANI EAST COUNTY,LANGI  PETER,INDEPENDENT,1722
ADJUMANI EAST COUNTY,ANYAMA  DANIEL,INDEPENDENT,933
ADJUMANI EAST COUNTY,ADRAWA  LAWRENCE DULU,FDC,390
ADJUMANI WEST COUNTY,ALI  MOSES,NRM,10227
ADJUMANI WEST COUNTY,TANDRUPASI  PATRICK,FDC,6891
ADJUMANI WEST COUNTY,ADRAWA  SANTOS GABRIEL,INDEPENDENT,1836
ADJUMANI WEST COUNTY,ASUSI  DOMINIC ANDAMA,INDEPENDENT,1145
ADJUMANI WEST COUNTY,IRAMA  TOLU PHILIP,INDEPENDENT,934
ADJUMANI WEST COUNTY,AJIRIKA  DRASIKU HENRY,INDEPENDENT,603
ADJUMANI WEST COUNTY,DRAGA  GASPER,INDEPENDENT,202
